ribosome	chain	protein_name	family
8G5Y	Chain TA	60S ribosomal protein L13a	RPL13A
8G5Y	Chain UA	60S ribosomal protein L13	RPL13
8G5Y	Chain VA	60S ribosomal protein L23	RPL23
8G5Y	Chain WA	60S ribosomal protein L14	RPL14
8G5Y	Chain E	40S ribosomal protein S3a	RPS3A
8G5Y	Chain XA	60S ribosomal protein L27a	RPL27A
8G5Y	Chain YA	60S ribosomal protein L15	RPL15
8G5Y	Chain ZA	60S ribosomal protein L10	RPL10
8G5Y	Chain AB	60S ribosomal protein L5	RPL5
8G5Y	Chain BB	60S ribosomal protein L18	RPL18
8G5Y	Chain CB	60S ribosomal protein L19	RPL19
8G5Y	Chain DB	60S ribosomal protein L18a	RPL18A
8G5Y	Chain EB	60S ribosomal protein L21	RPL21
8G5Y	Chain FB	60S ribosomal protein L17	RPL17
8G5Y	Chain GB	60S ribosomal protein L22	RPL22
8G5Y	Chain F	40S ribosomal protein SA	RPSA
8G5Y	Chain HB	60S ribosomal protein L23a	RPL23A
8G5Y	Chain IB	60S ribosomal protein L26	RPL26
8G5Y	Chain JB	60S ribosomal protein L24	RPL24
8G5Y	Chain KB	60S ribosomal protein L27	RPL27
8G5Y	Chain LB	60S ribosomal protein L28	RPL28
8G5Y	Chain MB	60S ribosomal protein L35	RPL35
8G5Y	Chain NB	60S ribosomal protein L29	RPL29
8G5Y	Chain OB	60S ribosomal protein L7	RPL7
8G5Y	Chain PB	60S ribosomal protein L30	RPL30
8G5Y	Chain QB	60S ribosomal protein L31	RPL31
8G5Y	Chain G	40S ribosomal protein S3	RPS3
8G5Y	Chain RB	60S ribosomal protein L32	RPL32
8G5Y	Chain SB	60S ribosomal protein L35a	RPL35A
8G5Y	Chain TB	60S ribosomal protein L34	RPL34
8G5Y	Chain UB	60S ribosomal protein L36	RPL36
8G5Y	Chain VB	60S ribosomal protein L37	RPL37
8G5Y	Chain WB	60S ribosomal protein L38	RPL38
8G5Y	Chain XB	60S ribosomal protein L39	RPL39
8G5Y	Chain YB	eL40	RPL40
8G5Y	Chain ZB	60S ribosomal protein L41	RPL41
8G5Y	Chain AC	60S ribosomal protein L36a	RPL36A
8G5Y	Chain H	40S ribosomal protein S9	RPS9
8G5Y	Chain BC	60S ribosomal protein L37a	RPL37A
8G5Y	Chain CC	mRNA	NO_PERFECT_MATCH_CHECK
8G5Y	Chain DC	P-site tRNA	NO_PERFECT_MATCH_CHECK
8G5Y	Chain EC	eIF5A1	NO_PERFECT_MATCH_CHECK
8G5Y	Chain I	40S ribosomal protein S4, X isoform	RPS4
7QWQ	Chain A	SRP RNA 7SL	NO_PERFECT_MATCH_CHECK
7QWQ	Chain J	uL3	RPL3
7QWQ	Chain K	60S ribosomal protein L30	RPL30
7QWQ	Chain L	60S ribosomal protein L4	RPL4
7QWQ	Chain M	Ribosomal protein L31	RPL31
7QWQ	Chain N	Ribosomal_L18_c domain-containing protein	RPL5
7QWQ	Chain O	Ribosomal protein L32	RPL32
7QWQ	Chain P	60S ribosomal protein L6	RPL6
7QWQ	Chain Q	60S ribosomal protein L35a	RPL35A
7QWQ	Chain R	uL30	RPL7
7QWQ	Chain S	60S ribosomal protein L34	RPL34
7QWQ	Chain B	Signal recognition particle 19 kDa protein	NO_PERFECT_MATCH_CHECK
7QWQ	Chain T	60S ribosomal protein L7a	RPL7A
7QWQ	Chain U	60S ribosomal protein L35	NO_PERFECT_MATCH_CHECK
7QWQ	Chain V	60S ribosomal protein L9	RPL9
7QWQ	Chain W	60S ribosomal protein L36	RPL36
7QWQ	Chain X	60S ribosomal protein L10	RPL10
7QWQ	Chain Y	Ribosomal protein L37	RPL37
7QWQ	Chain Z	Ribosomal protein L11	RPL11
7QWQ	Chain AA	60S ribosomal protein L38	RPL38
7QWQ	Chain BA	60S ribosomal protein L13	RPL13
7QWQ	Chain CA	Ribosomal protein L39	RPL39
7QWQ	Chain C	Nascent chain preprolactin	NO_PERFECT_MATCH_CHECK
7QWQ	Chain DA	60S ribosomal protein L14	RPL14
7QWQ	Chain EA	Ubiquitin A-52 residue ribosomal protein fusion product 1	RPL40
7QWQ	Chain FA	Ribosomal protein L15	RPL15
7QWQ	Chain GA	60s ribosomal protein l41	RPL41
7QWQ	Chain HA	60S ribosomal protein L13a	RPL13A
7QWQ	Chain IA	eL42	RPL36A
7QWQ	Chain JA	60S ribosomal protein L17	RPL17
7QWQ	Chain KA	eL43	RPL37A
7QWQ	Chain LA	eL18	RPL18
7QWQ	Chain MA	60S ribosomal protein L28	RPL28
7QWQ	Chain D	Isoform 2 of Transcription factor BTF3	NO_PERFECT_MATCH_CHECK
7QWQ	Chain NA	60S ribosomal protein L19	RPL19
7QWQ	Chain OA	60S ribosomal protein L18a	RPL18A
7QWQ	Chain PA	60S ribosomal protein L21	RPL21
7QWQ	Chain QA	Ribosomal protein L22	RPL22
7QWQ	Chain RA	Ribosomal protein L23	RPL23
7QWQ	Chain SA	Ribosomal protein L24	RPL24
7QWQ	Chain TA	Ribosomal_L23eN domain-containing protein	NO_PERFECT_MATCH_CHECK
7QWQ	Chain UA	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
7QWQ	Chain VA	Ribosomal protein L26	RPL26
7QWQ	Chain WA	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
7QWQ	Chain E	Signal recognition particle subunit SRP68	NO_PERFECT_MATCH_CHECK
7QWQ	Chain XA	60S ribosomal protein L27	RPL27
7QWQ	Chain YA	60S ribosomal protein L27a	RPL27A
7QWQ	Chain ZA	Nascent polypeptide-associated complex subunit alpha	NO_PERFECT_MATCH_CHECK
7QWQ	Chain F	Signal recognition particle 54 kDa protein	NO_PERFECT_MATCH_CHECK
7QWQ	Chain G	L8	RPL8
7QWQ	Chain H	60S ribosomal protein L29	NO_PERFECT_MATCH_CHECK
7QWQ	Chain I	28S rRNA	NO_PERFECT_MATCH_CHECK
8CGN	Chain A	40S ribosomal protein S24-A	RPS24
8CGN	Chain B	40S ribosomal protein S25-A	RPS25
8CGN	Chain C	40S ribosomal protein S26	RPS26
8CGN	Chain D	40S ribosomal protein S27-A	RPS27
8CGN	Chain E	40S ribosomal protein S28-A	RPS28
8CGN	Chain F	HLJ1_G0030400.mRNA.1.CDS.1	RPS29
8CGN	Chain G	40S ribosomal protein S30-A	NO_PERFECT_MATCH_CHECK
8CGN	Chain H	Guanine nucleotide-binding protein subunit beta-like protein	NO_PERFECT_MATCH_CHECK
8CGN	Chain I	Ubiquitin-40S ribosomal protein S31	RPL40
8CGN	Chain J	60S ribosomal protein L16-A	RPL13A
8CGN	Chain K	25S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8CGN	Chain L	60S ribosomal protein L17-A	NO_PERFECT_MATCH_CHECK
8CGN	Chain M	5S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8CGN	Chains N	Transfer RNA fMet	NO_PERFECT_MATCH_CHECK
8CGN	Chain O	60S ribosomal protein L18-A	RPL18
8CGN	Chain P	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8CGN	Chain R	60S ribosomal protein L19-A	RPL19
8CGN	Chain S	60S acidic ribosomal protein P0	RPLP0
8CGN	Chain T	Messenger RNA	NO_PERFECT_MATCH_CHECK
8CGN	Chain U	60S ribosomal protein L20-A	NO_PERFECT_MATCH_CHECK
8CGN	Chain V	60S ribosomal protein L2-A	RPL8
8CGN	Chain W	60S ribosomal protein L12-A	RPL12
8CGN	Chain X	60S ribosomal protein L21-A	RPL21
8CGN	Chain Y	60S ribosomal protein L3	RPL3
8CGN	Chain Z	60S ribosomal protein L22-A	RPL22
8CGN	Chain AA	60S ribosomal protein L4-A	RPL4
8CGN	Chain BA	60S ribosomal protein L23-A	RPL23
8CGN	Chain CA	60S ribosomal protein L5	RPL5
8CGN	Chain DA	60S ribosomal protein L24-A	RPL24
8CGN	Chain EA	60S ribosomal protein L6-A	RPL6
8CGN	Chain FA	60S ribosomal protein L25	RPL23A
8CGN	Chain GA	60S ribosomal protein L7-A	RPL7
8CGN	Chain HA	60S ribosomal protein L26-A	RPL26
8CGN	Chain IA	60S ribosomal protein L8-A	RPL7A
8CGN	Chain JA	60S ribosomal protein L27-A	RPL27
8CGN	Chain KA	RPL9A isoform 1	RPL9
8CGN	Chain LA	60S ribosomal protein L28	RPL27A
8CGN	Chain MA	60S ribosomal protein L10	RPL10
8CGN	Chain NA	60S ribosomal protein L29	RPL29
8CGN	Chain OA	60S ribosomal protein L11-A	RPL11
8CGN	Chain PA	60S ribosomal protein L30	RPL30
8CGN	Chain QA	60S ribosomal protein L13-A	RPL13
8CGN	Chain RA	60S ribosomal protein L31-A	RPL31
8CGN	Chain SA	60S ribosomal protein L14-A	RPL14
8CGN	Chain TA	60S ribosomal protein L32	RPL32
8CGN	Chain UA	60S ribosomal protein L15-A	RPL15
8CGN	Chain VA	60S ribosomal protein L33-A	RPL35A
8CGN	Chain WA	60S ribosomal protein L34-A	RPL34
8CGN	Chain XA	60S ribosomal protein L35-A	RPL35
8CGN	Chain YA	60S ribosomal protein L36-A	RPL36
8CGN	Chain ZA	60S ribosomal protein L37-A	RPL37
8CGN	Chain AB	60S ribosomal protein L38	RPL38
8CGN	Chain BB	60S ribosomal protein L39	RPL39
8CGN	Chain CB	Ubiquitin-60S ribosomal protein L40	RPL40
8CGN	Chain DB	60S ribosomal protein L41	RPL41
8CGN	Chain EB	60S ribosomal protein L42-A	RPL36A
8CGN	Chain FB	60S ribosomal protein L43-A	RPL37A
8CGN	Chain GB	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
8CGN	Chain HB	40S ribosomal protein S0-A	RPSA
8CGN	Chain IB	40S ribosomal protein S1-A	RPS3A
8CGN	Chain JB	40S ribosomal protein S2	RPS2
8CGN	Chain KB	RPS3 isoform 1	RPS3
8CGN	Chain LB	40S ribosomal protein S4-A	RPS4
8CGN	Chain MB	40S ribosomal protein S5	RPS5
8CGN	Chain NB	40S ribosomal protein S6-A	RPS6
8CGN	Chain OB	40S ribosomal protein S7-A	RPS7
8CGN	Chain PB	40S ribosomal protein S8-B	RPS8
8CGN	Chain QB	40S ribosomal protein S9-A	RPS9
8CGN	Chain RB	40S ribosomal protein S10-A	RPS10
8CGN	Chain SB	40S ribosomal protein S11-A	RPS11
8CGN	Chain TB	40S ribosomal protein S13	RPS13
8CGN	Chain UB	40S ribosomal protein S14-A	RPS14
8CGN	Chain VB	40S ribosomal protein S15	RPS15
8CGN	Chain WB	40S ribosomal protein S16-A	RPS16
8CGN	Chain XB	40S ribosomal protein S17-A	RPS17
8CGN	Chain YB	40S ribosomal protein S18-A	RPS18
8CGN	Chain ZB	40S ribosomal protein S19-A	RPS19
8CGN	Chain AC	40S ribosomal protein S20	RPS20
8CGN	Chain BC	40S ribosomal protein S21-A	RPS21
8CGN	Chain CC	40S ribosomal protein S22-A	RPS15A
8CGN	Chain DC	40S ribosomal protein S23-A	RPS23
6Y0G	Chain A	mRNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chains B	tRNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chain C	Nascent peptide	NO_PERFECT_MATCH_CHECK
6Y0G	Chain E	28S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chain F	5S rRNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chain G	5.8S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chain H	60S ribosomal protein L8	RPL8
6Y0G	Chain I	60S ribosomal protein L3	RPL3
6Y0G	Chain J	60S ribosomal protein L4	RPL4
6Y0G	Chain K	60S ribosomal protein L5	RPL5
6Y0G	Chain L	60S ribosomal protein L6	RPL6
6Y0G	Chain M	60S ribosomal protein L7	RPL7
6Y0G	Chain N	60S ribosomal protein L7a	RPL7A
6Y0G	Chain O	60S ribosomal protein L9	RPL9
6Y0G	Chain P	60S ribosomal protein L10-like	RPL10
6Y0G	Chain Q	60S ribosomal protein L11	RPL11
6Y0G	Chain R	60S ribosomal protein L13	RPL13
6Y0G	Chain S	60S ribosomal protein L14	RPL14
6Y0G	Chain T	60S ribosomal protein L15	RPL15
6Y0G	Chain U	60S ribosomal protein L13a	RPL13A
6Y0G	Chain V	60S ribosomal protein L17	RPL17
6Y0G	Chain W	60S ribosomal protein L18	RPL18
6Y0G	Chain X	60S ribosomal protein L19	RPL19
6Y0G	Chain Y	60S ribosomal protein L18a	RPL18A
6Y0G	Chain Z	60S ribosomal protein L21	RPL21
6Y0G	Chain AA	60S ribosomal protein L22	RPL22
6Y0G	Chain BA	60S ribosomal protein L23	RPL23
6Y0G	Chain CA	60S ribosomal protein L24	RPL24
6Y0G	Chain DA	60S ribosomal protein L23a	RPL23A
6Y0G	Chain EA	60S ribosomal protein L26	RPL26
6Y0G	Chain FA	60S ribosomal protein L27	RPL27
6Y0G	Chain GA	60S ribosomal protein L27a	RPL27A
6Y0G	Chain HA	60S ribosomal protein L29	RPL29
6Y0G	Chain IA	60S ribosomal protein L30	RPL30
6Y0G	Chain JA	60S ribosomal protein L31	RPL31
6Y0G	Chain KA	60S ribosomal protein L32	RPL32
6Y0G	Chain LA	60S ribosomal protein L35a	RPL35A
6Y0G	Chain MA	60S ribosomal protein L34	RPL34
6Y0G	Chain NA	60S ribosomal protein L35	RPL35
6Y0G	Chain OA	60S ribosomal protein L36	RPL36
6Y0G	Chain PA	60S ribosomal protein L37	RPL37
6Y0G	Chain QA	60S ribosomal protein L38	RPL38
6Y0G	Chain RA	60S ribosomal protein L39	RPL39
6Y0G	Chain SA	Ubiquitin-60S ribosomal protein L40	RPL40
6Y0G	Chain TA	60S ribosomal protein L41	RPL41
6Y0G	Chain UA	60S ribosomal protein L36a	RPL36A
6Y0G	Chain VA	60S ribosomal protein L37a	RPL37A
6Y0G	Chain WA	60S ribosomal protein L28	RPL28
6Y0G	Chain XA	18S ribosomal RNA	NO_PERFECT_MATCH_CHECK
6Y0G	Chain YA	40S ribosomal protein SA	RPSA
6Y0G	Chain ZA	40S ribosomal protein S3a	RPS3A
6Y0G	Chain AB	40S ribosomal protein S2	RPS2
6Y0G	Chain BB	40S ribosomal protein S3	RPS3
6Y0G	Chain CB	40S ribosomal protein S4, X isoform	RPS4
6Y0G	Chain DB	40S ribosomal protein S5	RPS5
6Y0G	Chain EB	40S ribosomal protein S6	RPS6
6Y0G	Chain FB	40S ribosomal protein S7	RPS7
6Y0G	Chain GB	40S ribosomal protein S8	RPS8
6Y0G	Chain HB	40S ribosomal protein S9	RPS9
6Y0G	Chain IB	40S ribosomal protein S10	RPS10
6Y0G	Chain JB	40S ribosomal protein S11	RPS11
6Y0G	Chain KB	40S ribosomal protein S12	RPS12
6Y0G	Chain LB	40S ribosomal protein S13	RPS13
6Y0G	Chain MB	40S ribosomal protein S14	RPS14
6Y0G	Chain NB	40S ribosomal protein S15	RPS15
6Y0G	Chain OB	40S ribosomal protein S16	RPS16
6Y0G	Chain PB	40S ribosomal protein S17	RPS17
6Y0G	Chain QB	40S ribosomal protein S18	RPS18
6Y0G	Chain RB	40S ribosomal protein S19	RPS19
6Y0G	Chain SB	40S ribosomal protein S20	RPS20
6Y0G	Chain TB	40S ribosomal protein S21	RPS21
6Y0G	Chain UB	40S ribosomal protein S15a	RPS15A
6Y0G	Chain VB	40S ribosomal protein S23	RPS23
6Y0G	Chain WB	40S ribosomal protein S24	RPS24
6Y0G	Chain XB	40S ribosomal protein S25	RPS25
6Y0G	Chain YB	40S ribosomal protein S26	RPS26
6Y0G	Chain ZB	40S ribosomal protein S27	RPS27
6Y0G	Chain AC	40S ribosomal protein S28	RPS28
6Y0G	Chain BC	40S ribosomal protein S29	RPS29
6Y0G	Chain CC	40S ribosomal protein S30	NO_PERFECT_MATCH_CHECK
6Y0G	Chain DC	Ubiquitin-40S ribosomal protein S27a	RPL40
6Y0G	Chain EC	Receptor of activated protein C kinase 1	NO_PERFECT_MATCH_CHECK
